EC_number,BinID,Enrichment,product,gene,Classification,Confidence,Tax_Level,Quality,General_Pathway
1.1.5.4,Emma2metabat.41,Emma2,putative malate:quinone oxidoreductase,mqo,Rhodococcus,0.98,genus,Low,Citrate cycle (TCA cycle)
2.3.1.16,Emma2metabat.41,Emma2,3-ketoacyl-CoA thiolase,fadA,Rhodococcus,0.98,genus,Low,Benzoate degradation
4.2.1.2,Emma2metabat.41,Emma2,Fumarate hydratase class II,fumC,Rhodococcus,0.98,genus,Low,Citrate cycle (TCA cycle)
3.5.1.4,Emma2metabat.41,Emma2,Putative amidase AmiD,amiD,Rhodococcus,0.98,genus,Low,Aminobenzoate degradation
5.5.1.1,Emma2metabat.41,Emma2,Muconate cycloisomerase 1,catB,Rhodococcus,0.98,genus,Low,Benzoate degradation
2.3.1.16,Emma2metabat.41,Emma2,Steroid 3-ketoacyl-CoA thiolase,fadA5_2,Rhodococcus,0.98,genus,Low,Benzoate degradation
1.2.1.28,Emma2metabat.41,Emma2,Benzaldehyde dehydrogenase [NAD(+)],xylC,Rhodococcus,0.98,genus,Low,Aminobenzoate degradation
4.2.1.17,Emma2metabat.41,Emma2,putative enoyl-CoA hydratase echA8,echA8,Rhodococcus,0.98,genus,Low,Benzoate degradation
4.2.1.17,Emma2metabat.41,Emma2,putative enoyl-CoA hydratase echA8,echA8,Rhodococcus,0.98,genus,Low,Aminobenzoate degradation
4.2.1.3,Emma2metabat.41,Emma2,Aconitate hydratase A,acn,Rhodococcus,0.98,genus,Low,Citrate cycle (TCA cycle)
4.2.1.17,Emma2metabat.41,Emma2,putative enoyl-CoA hydratase,fadB,Rhodococcus,0.98,genus,Low,Benzoate degradation
4.2.1.17,Emma2metabat.41,Emma2,putative enoyl-CoA hydratase,fadB,Rhodococcus,0.98,genus,Low,Aminobenzoate degradation
1.14.13.33,Emma2metabat.41,Emma2,4-hydroxybenzoate 3-monooxygenase (NAD(P)H),praI,Rhodococcus,0.98,genus,Low,Benzoate degradation
1.3.5.4,Emma2metabat.42,Emma2,Fumarate reductase flavoprotein subunit,frdA,NA,NA,NA,High,Citrate cycle (TCA cycle)
1.3.5.1,Emma2metabat.42,Emma2,Fumarate reductase iron-sulfur subunit,frdB,NA,NA,NA,High,Citrate cycle (TCA cycle)
1.1.1.35,Emma2metabat.42,Emma2,putative 3-hydroxyacyl-CoA dehydrogenase,fadN,NA,NA,NA,High,Benzoate degradation
2.3.1.16,Emma2metabat.42,Emma2,3-ketoacyl-CoA thiolase,fadA,NA,NA,NA,High,Benzoate degradation
1.1.1.42,Emma2metabat.42,Emma2,Isocitrate dehydrogenase [NADP],icd,NA,NA,NA,High,Citrate cycle (TCA cycle)
4.1.1.61,Emma2metabat.42,Emma2,4-hydroxybenzoate decarboxylase subunit C,NA,NA,NA,NA,High,Aminobenzoate degradation
3.6.1.7,Emma2metabat.42,Emma2,Acylphosphatase,acyP,NA,NA,NA,High,Aminobenzoate degradation
1.8.1.4,Emma2metabat.42,Emma2,Dihydrolipoyl dehydrogenase,NA,NA,NA,NA,High,Citrate cycle (TCA cycle)
1.14.13.7,Emma2metabat.42,Emma2,Phenol hydroxylase P5 protein,mphP,NA,NA,NA,High,Aminobenzoate degradation
4.1.1.49,Emma2metabat.42,Emma2,Phosphoenolpyruvate carboxykinase (ATP),pckA,NA,NA,NA,High,Citrate cycle (TCA cycle)
1.8.1.4,Emma2metabat.42,Emma2,Dihydrolipoyl dehydrogenase,lpd,NA,NA,NA,High,Citrate cycle (TCA cycle)
1.1.1.157,Emma2metabat.42,Emma2,putative 3-hydroxybutyryl-CoA dehydrogenase,mmgB,NA,NA,NA,High,Benzoate degradation
2.3.1.12,Emma2metabat.42,Emma2,Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex,pdhC_1,NA,NA,NA,High,Citrate cycle (TCA cycle)
4.2.1.2,Emma2metabat.42,Emma2,Fumarate hydratase class II,fumC,NA,NA,NA,High,Citrate cycle (TCA cycle)
2.3.1.61,Emma2metabat.42,Emma2,Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex,sucB,NA,NA,NA,High,Citrate cycle (TCA cycle)
2.3.1.9,Emma2metabat.42,Emma2,Acetyl-CoA acetyltransferase,thlA,NA,NA,NA,High,Benzoate degradation
2.3.1.12,Emma2metabat.42,Emma2,Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex,pdhC_2,NA,NA,NA,High,Citrate cycle (TCA cycle)
6.2.1.5,Emma2metabat.42,Emma2,Succinate--CoA ligase [ADP-forming] subunit alpha,sucD,NA,NA,NA,High,Citrate cycle (TCA cycle)
1.6.5.7,Emma2metabat.42,Emma2,"2-hydroxy-1,4-benzoquinone reductase",NA,NA,NA,NA,High,Aminobenzoate degradation
3.1.1.24,Emma2metabat.42,Emma2,3-oxoadipate enol-lactonase 2,catD,NA,NA,NA,High,Benzoate degradation
1.1.1.37,Emma2metabat.42,Emma2,Malate dehydrogenase,mdh,NA,NA,NA,High,Citrate cycle (TCA cycle)
6.2.1.5,Emma2metabat.42,Emma2,Succinate--CoA ligase [ADP-forming] subunit beta,sucC,NA,NA,NA,High,Citrate cycle (TCA cycle)
2.3.1.174,Emma2metabat.42,Emma2,"3-oxoadipyl-CoA/3-oxo-5,6-dehydrosuberyl-CoA thiolase",paaJ,NA,NA,NA,High,Benzoate degradation
1.2.4.1,Emma2metabat.43,Emma2,Pyruvate dehydrogenase E1 component,aceE_1,Xenophilus azovorans,0.81,species,High,Citrate cycle (TCA cycle)
4.2.1.17,Emma2metabat.43,Emma2,putative enoyl-CoA hydratase echA8,echA8_1,Xenophilus azovorans,0.81,species,High,Benzoate degradation
4.2.1.17,Emma2metabat.43,Emma2,putative enoyl-CoA hydratase echA8,echA8_1,Xenophilus azovorans,0.81,species,High,Aminobenzoate degradation
4.2.1.17,Emma2metabat.43,Emma2,"2,3-dehydroadipyl-CoA hydratase",paaF_1,Xenophilus azovorans,0.81,species,High,Benzoate degradation
4.2.1.17,Emma2metabat.43,Emma2,"2,3-dehydroadipyl-CoA hydratase",paaF_1,Xenophilus azovorans,0.81,species,High,Aminobenzoate degradation
1.14.13.24,Emma2metabat.43,Emma2,3-hydroxybenzoate 6-hydroxylase 1,xlnD_1,Xenophilus azovorans,0.81,species,High,Benzoate degradation
3.1.1.24,Emma2metabat.43,Emma2,3-oxoadipate enol-lactonase 2,catD,Xenophilus azovorans,0.81,species,High,Benzoate degradation
1.14.12.7,Emma2metabat.43,Emma2,"Phthalate 4,5-dioxygenase oxygenase reductase subunit",pht2_1,Xenophilus azovorans,0.81,species,High,Polycyclic aromatic hydrocarbon degradation
4.2.1.17,Emma2metabat.43,Emma2,putative enoyl-CoA hydratase echA12,NA,Xenophilus azovorans,0.81,species,High,Benzoate degradation
4.2.1.17,Emma2metabat.43,Emma2,putative enoyl-CoA hydratase echA12,NA,Xenophilus azovorans,0.81,species,High,Aminobenzoate degradation
1.14.12.3,Emma2metabat.43,Emma2,"Benzene 1,2-dioxygenase subunit beta",bnzB,Xenophilus azovorans,0.81,species,High,Benzoate degradation
3.1.2.23,Emma2metabat.43,Emma2,4-hydroxybenzoyl-CoA thioesterase,NA,Xenophilus azovorans,0.81,species,High,Benzoate degradation
6.2.1.25,Emma2metabat.43,Emma2,Benzoate--CoA ligase,bclA_1,Xenophilus azovorans,0.81,species,High,Benzoate degradation
6.2.1.25,Emma2metabat.43,Emma2,Benzoate--CoA ligase,bclA_1,Xenophilus azovorans,0.81,species,High,Aminobenzoate degradation
4.2.1.17,Emma2metabat.43,Emma2,putative enoyl-CoA hydratase echA12,NA,Xenophilus azovorans,0.81,species,High,Benzoate degradation
4.2.1.17,Emma2metabat.43,Emma2,putative enoyl-CoA hydratase echA12,NA,Xenophilus azovorans,0.81,species,High,Aminobenzoate degradation
1.14.13.24,Emma2metabat.43,Emma2,3-hydroxybenzoate 6-hydroxylase 1,xlnD_2,Xenophilus azovorans,0.81,species,High,Benzoate degradation
1.7.1.16,Emma2metabat.43,Emma2,Nitrobenzene nitroreductase,nbzA_1,Xenophilus azovorans,0.81,species,High,Aminobenzoate degradation
1.14.12.7,Emma2metabat.43,Emma2,"Phthalate 4,5-dioxygenase oxygenase subunit",pht3_1,Xenophilus azovorans,0.81,species,High,Polycyclic aromatic hydrocarbon degradation
2.8.3.8,Emma2metabat.43,Emma2,Acetate CoA-transferase YdiF,ydiF,Xenophilus azovorans,0.81,species,High,Aminobenzoate degradation
4.1.1.32,Emma2metabat.43,Emma2,Phosphoenolpyruvate carboxykinase [GTP],pckG,Xenophilus azovorans,0.81,species,High,Citrate cycle (TCA cycle)
1.8.1.4,Emma2metabat.43,Emma2,Dihydrolipoyl dehydrogenase,lpdA,Xenophilus azovorans,0.81,species,High,Citrate cycle (TCA cycle)
1.2.4.2,Emma2metabat.43,Emma2,2-oxoglutarate dehydrogenase E1 component,sucA,Xenophilus azovorans,0.81,species,High,Citrate cycle (TCA cycle)
2.3.1.61,Emma2metabat.43,Emma2,Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex,sucB,Xenophilus azovorans,0.81,species,High,Citrate cycle (TCA cycle)
1.2.4.1,Emma2metabat.43,Emma2,Pyruvate dehydrogenase E1 component,aceE_2,Xenophilus azovorans,0.81,species,High,Citrate cycle (TCA cycle)
1.14.13.7,Emma2metabat.43,Emma2,Phenol hydroxylase P2 protein,dmpM,Xenophilus azovorans,0.81,species,High,Aminobenzoate degradation
1.14.13.7,Emma2metabat.43,Emma2,Phenol hydroxylase P1 protein,mphL,Xenophilus azovorans,0.81,species,High,Aminobenzoate degradation
1.14.12.7,Emma2metabat.43,Emma2,"Phthalate 4,5-dioxygenase oxygenase subunit",pht3_2,Xenophilus azovorans,0.81,species,High,Polycyclic aromatic hydrocarbon degradation
4.2.1.17,Emma2metabat.43,Emma2,putative enoyl-CoA hydratase 1,NA,Xenophilus azovorans,0.81,species,High,Benzoate degradation
4.2.1.17,Emma2metabat.43,Emma2,putative enoyl-CoA hydratase 1,NA,Xenophilus azovorans,0.81,species,High,Aminobenzoate degradation
4.2.1.2,Emma2metabat.43,Emma2,Fumarate hydratase class II,fumC,Xenophilus azovorans,0.81,species,High,Citrate cycle (TCA cycle)
4.2.1.2,Emma2metabat.43,Emma2,"Fumarate hydratase class I, anaerobic",fumB,Xenophilus azovorans,0.81,species,High,Citrate cycle (TCA cycle)
1.14.13.220,Emma2metabat.43,Emma2,putative NADH-specific resorcinol 4-hydroxylase,tsdB_1,Xenophilus azovorans,0.81,species,High,Benzoate degradation
3.1.1.102,Emma2metabat.43,Emma2,Mono(2-hydroxyethyl) terephthalate hydrolase,NA,Xenophilus azovorans,0.81,species,High,Polycyclic aromatic hydrocarbon degradation
1.3.5.1,Emma2metabat.43,Emma2,Succinate dehydrogenase iron-sulfur subunit,sdhB_1,Xenophilus azovorans,0.81,species,High,Citrate cycle (TCA cycle)
1.2.1.28,Emma2metabat.43,Emma2,Benzaldehyde dehydrogenase [NAD(+)],xylC,Xenophilus azovorans,0.81,species,High,Aminobenzoate degradation
1.14.12.7,Emma2metabat.43,Emma2,"Phthalate 4,5-dioxygenase oxygenase subunit",pht3_3,Xenophilus azovorans,0.81,species,High,Polycyclic aromatic hydrocarbon degradation
1.14.13.2,Emma2metabat.43,Emma2,p-hydroxybenzoate hydroxylase,pobA_1,Xenophilus azovorans,0.81,species,High,Benzoate degradation
4.1.3.39,Emma2metabat.43,Emma2,4-hydroxy-2-oxovalerate aldolase,bphF,Xenophilus azovorans,0.81,species,High,Benzoate degradation
1.6.5.7,Emma2metabat.43,Emma2,"2-hydroxy-1,4-benzoquinone reductase",NA,Xenophilus azovorans,0.81,species,High,Aminobenzoate degradation
2.3.1.16,Emma2metabat.43,Emma2,3-ketoacyl-CoA thiolase,fadA_1,Xenophilus azovorans,0.81,species,High,Benzoate degradation
1.14.12.15,Emma2metabat.43,Emma2,"Terephthalate 1,2-dioxygenase, terminal oxygenase component subunit alpha 1",tphA2I,Xenophilus azovorans,0.81,species,High,Polycyclic aromatic hydrocarbon degradation
1.14.12.15,Emma2metabat.43,Emma2,"Terephthalate 1,2-dioxygenase, terminal oxygenase component subunit beta 1",tphA3I,Xenophilus azovorans,0.81,species,High,Polycyclic aromatic hydrocarbon degradation
1.3.1.53,Emma2metabat.43,Emma2,"1,2-dihydroxy-3,5-cyclohexadiene-1,4-dicarboxylate dehydrogenase",tphBI,Xenophilus azovorans,0.81,species,High,Polycyclic aromatic hydrocarbon degradation
1.14.12.15,Emma2metabat.43,Emma2,"Terephthalate 1,2-dioxygenase, reductase component 2",tphA1II,Xenophilus azovorans,0.81,species,High,Polycyclic aromatic hydrocarbon degradation
2.3.1.16,Emma2metabat.43,Emma2,3-ketoacyl-CoA thiolase,fadA_2,Xenophilus azovorans,0.81,species,High,Benzoate degradation
1.1.1.35,Emma2metabat.43,Emma2,putative 3-hydroxyacyl-CoA dehydrogenase,fadN,Xenophilus azovorans,0.81,species,High,Benzoate degradation
3.1.1.102,Emma2metabat.43,Emma2,Mono(2-hydroxyethyl) terephthalate hydrolase,NA,Xenophilus azovorans,0.81,species,High,Polycyclic aromatic hydrocarbon degradation
1.2.1.77,Emma2metabat.43,Emma2,"3,4-dehydroadipyl-CoA semialdehyde dehydrogenase",boxD,Xenophilus azovorans,0.81,species,High,Benzoate degradation
6.2.1.25,Emma2metabat.43,Emma2,Benzoate--CoA ligase,bclA_2,Xenophilus azovorans,0.81,species,High,Benzoate degradation
6.2.1.25,Emma2metabat.43,Emma2,Benzoate--CoA ligase,bclA_2,Xenophilus azovorans,0.81,species,High,Aminobenzoate degradation
1.14.12.7,Emma2metabat.43,Emma2,"Phthalate 4,5-dioxygenase oxygenase subunit",pht3_4,Xenophilus azovorans,0.81,species,High,Polycyclic aromatic hydrocarbon degradation
1.14.13.24,Emma2metabat.43,Emma2,3-hydroxybenzoate 6-hydroxylase,nagX,Xenophilus azovorans,0.81,species,High,Benzoate degradation
1.14.13.1,Emma2metabat.43,Emma2,Salicylate hydroxylase,nahG,Xenophilus azovorans,0.81,species,High,Polycyclic aromatic hydrocarbon degradation
1.14.13.220,Emma2metabat.43,Emma2,putative NADH-specific resorcinol 4-hydroxylase,tsdB_2,Xenophilus azovorans,0.81,species,High,Benzoate degradation
2.8.3.6,Emma2metabat.43,Emma2,3-oxoadipate CoA-transferase subunit A,pcaI,Xenophilus azovorans,0.81,species,High,Benzoate degradation
2.8.3.6,Emma2metabat.43,Emma2,3-oxoadipate CoA-transferase subunit B,pcaJ,Xenophilus azovorans,0.81,species,High,Benzoate degradation
4.2.1.17,Emma2metabat.43,Emma2,"2,3-dehydroadipyl-CoA hydratase",paaF_2,Xenophilus azovorans,0.81,species,High,Benzoate degradation
4.2.1.17,Emma2metabat.43,Emma2,"2,3-dehydroadipyl-CoA hydratase",paaF_2,Xenophilus azovorans,0.81,species,High,Aminobenzoate degradation
2.3.1.16,Emma2metabat.43,Emma2,3-ketoacyl-CoA thiolase,fadA_3,Xenophilus azovorans,0.81,species,High,Benzoate degradation
6.2.1.5,Emma2metabat.43,Emma2,Succinate--CoA ligase [ADP-forming] subunit alpha,sucD,Xenophilus azovorans,0.81,species,High,Citrate cycle (TCA cycle)
6.2.1.5,Emma2metabat.43,Emma2,Succinate--CoA ligase [ADP-forming] subunit beta,sucC,Xenophilus azovorans,0.81,species,High,Citrate cycle (TCA cycle)
2.3.1.16,Emma2metabat.43,Emma2,Steroid 3-ketoacyl-CoA thiolase,fadA5,Xenophilus azovorans,0.81,species,High,Benzoate degradation
4.2.1.17,Emma2metabat.43,Emma2,"2,3-dehydroadipyl-CoA hydratase",paaF_3,Xenophilus azovorans,0.81,species,High,Benzoate degradation
4.2.1.17,Emma2metabat.43,Emma2,"2,3-dehydroadipyl-CoA hydratase",paaF_3,Xenophilus azovorans,0.81,species,High,Aminobenzoate degradation
4.2.1.3,Emma2metabat.43,Emma2,Aconitate hydratase A,acn,Xenophilus azovorans,0.81,species,High,Citrate cycle (TCA cycle)
1.1.1.312,Emma2metabat.43,Emma2,4-carboxy-2-hydroxymuconate-6-semialdehyde dehydrogenase,ligC,Xenophilus azovorans,0.81,species,High,Benzoate degradation
1.1.1.312,Emma2metabat.43,Emma2,4-carboxy-2-hydroxymuconate-6-semialdehyde dehydrogenase,ligC,Xenophilus azovorans,0.81,species,High,Aminobenzoate degradation
1.13.11.8,Emma2metabat.43,Emma2,"Protocatechuate 4,5-dioxygenase beta chain",ligB,Xenophilus azovorans,0.81,species,High,Polycyclic aromatic hydrocarbon degradation
1.13.11.8,Emma2metabat.43,Emma2,"Protocatechuate 4,5-dioxygenase beta chain",ligB,Xenophilus azovorans,0.81,species,High,Benzoate degradation
1.13.11.8,Emma2metabat.43,Emma2,"Protocatechuate 4,5-dioxygenase beta chain",ligB,Xenophilus azovorans,0.81,species,High,Aminobenzoate degradation
1.13.11.8,Emma2metabat.43,Emma2,"Protocatechuate 4,5-dioxygenase alpha chain",ligA_2,Xenophilus azovorans,0.81,species,High,Polycyclic aromatic hydrocarbon degradation
1.13.11.8,Emma2metabat.43,Emma2,"Protocatechuate 4,5-dioxygenase alpha chain",ligA_2,Xenophilus azovorans,0.81,species,High,Benzoate degradation
1.13.11.8,Emma2metabat.43,Emma2,"Protocatechuate 4,5-dioxygenase alpha chain",ligA_2,Xenophilus azovorans,0.81,species,High,Aminobenzoate degradation
3.1.1.57,Emma2metabat.43,Emma2,"2-pyrone-4,6-dicarbaxylate hydrolase",pmdD,Xenophilus azovorans,0.81,species,High,Benzoate degradation
3.1.1.57,Emma2metabat.43,Emma2,"2-pyrone-4,6-dicarbaxylate hydrolase",pmdD,Xenophilus azovorans,0.81,species,High,Aminobenzoate degradation
2.3.1.174,Emma2metabat.43,Emma2,Beta-ketoadipyl-CoA thiolase,pcaF,Xenophilus azovorans,0.81,species,High,Benzoate degradation
5.4.4.3,Emma2metabat.43,Emma2,3-hydroxylaminophenol mutase,NA,Xenophilus azovorans,0.81,species,High,Aminobenzoate degradation
1.3.5.4,Emma2metabat.43,Emma2,Fumarate reductase flavoprotein subunit,ifcA,Xenophilus azovorans,0.81,species,High,Citrate cycle (TCA cycle)
1.14.12.7,Emma2metabat.43,Emma2,"Phthalate 4,5-dioxygenase oxygenase reductase subunit",pht2_2,Xenophilus azovorans,0.81,species,High,Polycyclic aromatic hydrocarbon degradation
1.7.1.16,Emma2metabat.43,Emma2,Nitrobenzene nitroreductase,nbzA_2,Xenophilus azovorans,0.81,species,High,Aminobenzoate degradation
2.3.1.9,Emma2metabat.43,Emma2,Acetyl-CoA acetyltransferase,phaA,Xenophilus azovorans,0.81,species,High,Benzoate degradation
1.14.13.7,Emma2metabat.43,Emma2,Phenol 2-monooxygenase,tbuD,Xenophilus azovorans,0.81,species,High,Aminobenzoate degradation
1.14.13.7,Emma2metabat.43,Emma2,Phenol hydroxylase P5 protein,dmpP,Xenophilus azovorans,0.81,species,High,Aminobenzoate degradation
1.13.11.2,Emma2metabat.43,Emma2,Metapyrocatechase,xylE,Xenophilus azovorans,0.81,species,High,Benzoate degradation
1.2.1.85,Emma2metabat.43,Emma2,2-hydroxymuconic semialdehyde dehydrogenase,xylG,Xenophilus azovorans,0.81,species,High,Benzoate degradation
1.2.1.10,Emma2metabat.43,Emma2,Acetaldehyde dehydrogenase 4,bphJ_1,Xenophilus azovorans,0.81,species,High,Benzoate degradation
4.1.3.39,Emma2metabat.43,Emma2,4-hydroxy-2-oxovalerate aldolase 4,bphI_1,Xenophilus azovorans,0.81,species,High,Benzoate degradation
5.3.2.6,Emma2metabat.43,Emma2,2-hydroxymuconate tautomerase,dmpI,Xenophilus azovorans,0.81,species,High,Benzoate degradation
4.2.1.17,Emma2metabat.43,Emma2,"2,3-dehydroadipyl-CoA hydratase",paaF_4,Xenophilus azovorans,0.81,species,High,Benzoate degradation
4.2.1.17,Emma2metabat.43,Emma2,"2,3-dehydroadipyl-CoA hydratase",paaF_4,Xenophilus azovorans,0.81,species,High,Aminobenzoate degradation
4.2.1.17,Emma2metabat.43,Emma2,putative enoyl-CoA hydratase echA8,echA8_2,Xenophilus azovorans,0.81,species,High,Benzoate degradation
4.2.1.17,Emma2metabat.43,Emma2,putative enoyl-CoA hydratase echA8,echA8_2,Xenophilus azovorans,0.81,species,High,Aminobenzoate degradation
4.2.1.17,Emma2metabat.43,Emma2,putative enoyl-CoA hydratase echA8,echA8_3,Xenophilus azovorans,0.81,species,High,Benzoate degradation
4.2.1.17,Emma2metabat.43,Emma2,putative enoyl-CoA hydratase echA8,echA8_3,Xenophilus azovorans,0.81,species,High,Aminobenzoate degradation
1.14.13.2,Emma2metabat.43,Emma2,p-hydroxybenzoate hydroxylase,pobA_3,Xenophilus azovorans,0.81,species,High,Benzoate degradation
5.3.2.6,Emma2metabat.43,Emma2,2-hydroxymuconate tautomerase,ywhB,Xenophilus azovorans,0.81,species,High,Benzoate degradation
1.2.1.10,Emma2metabat.43,Emma2,Acetaldehyde dehydrogenase 4,bphJ_2,Xenophilus azovorans,0.81,species,High,Benzoate degradation
4.1.3.39,Emma2metabat.43,Emma2,4-hydroxy-2-oxovalerate aldolase 4,bphI_2,Xenophilus azovorans,0.81,species,High,Benzoate degradation
3.6.1.7,Emma2metabat.43,Emma2,Acylphosphatase,yccX,Xenophilus azovorans,0.81,species,High,Aminobenzoate degradation
1.1.1.42,Emma2metabat.43,Emma2,Isocitrate dehydrogenase [NADP],icd_1,Xenophilus azovorans,0.81,species,High,Citrate cycle (TCA cycle)
1.1.1.42,Emma2metabat.43,Emma2,Isocitrate dehydrogenase [NADP],icd_2,Xenophilus azovorans,0.81,species,High,Citrate cycle (TCA cycle)
1.14.12.7,Emma2metabat.43,Emma2,"Phthalate 4,5-dioxygenase oxygenase subunit",pht3_5,Xenophilus azovorans,0.81,species,High,Polycyclic aromatic hydrocarbon degradation
2.3.1.16,Emma2metabat.43,Emma2,3-ketoacyl-CoA thiolase,fadA_4,Xenophilus azovorans,0.81,species,High,Benzoate degradation
4.2.1.17,Emma2metabat.43,Emma2,"2,3-dehydroadipyl-CoA hydratase",paaF_5,Xenophilus azovorans,0.81,species,High,Benzoate degradation
4.2.1.17,Emma2metabat.43,Emma2,"2,3-dehydroadipyl-CoA hydratase",paaF_5,Xenophilus azovorans,0.81,species,High,Aminobenzoate degradation
4.2.1.17,Emma2metabat.43,Emma2,Enoyl-CoA-hydratase,dpgD,Xenophilus azovorans,0.81,species,High,Benzoate degradation
4.2.1.17,Emma2metabat.43,Emma2,Enoyl-CoA-hydratase,dpgD,Xenophilus azovorans,0.81,species,High,Aminobenzoate degradation
1.1.1.157,Emma2metabat.43,Emma2,3-hydroxybutyryl-CoA dehydrogenase,hbd,Xenophilus azovorans,0.81,species,High,Benzoate degradation
1.2.1.67,Emma2metabat.43,Emma2,Vanillin dehydrogenase,vdh,Xenophilus azovorans,0.81,species,High,Aminobenzoate degradation
4.2.1.3,Emma2metabat.43,Emma2,Aconitate hydratase B,acnB,Xenophilus azovorans,0.81,species,High,Citrate cycle (TCA cycle)
1.1.1.37,Emma2metabat.43,Emma2,Malate dehydrogenase,mdh,Xenophilus azovorans,0.81,species,High,Citrate cycle (TCA cycle)
1.3.5.1,Emma2metabat.43,Emma2,Succinate dehydrogenase flavoprotein subunit,sdhA,Xenophilus azovorans,0.81,species,High,Citrate cycle (TCA cycle)
1.3.5.1,Emma2metabat.43,Emma2,Succinate dehydrogenase iron-sulfur subunit,sdhB_2,Xenophilus azovorans,0.81,species,High,Citrate cycle (TCA cycle)
4.2.1.80,Emma2metabat.43,Emma2,2-keto-4-pentenoate hydratase,mhpD,Xenophilus azovorans,0.81,species,High,Benzoate degradation
2.3.1.9,Emma2metabat.43,Emma2,Acetyl-CoA acetyltransferase,thlA,Xenophilus azovorans,0.81,species,High,Benzoate degradation
1.3.8.10,Emma2metabat.44,Emma2,Cyclohex-1-ene-1-carbonyl-CoA dehydrogenase,NA,Rhodococcus,0.9,genus,Low,Benzoate degradation
1.2.7.3,Emma2metabat.44,Emma2,2-oxoglutarate oxidoreductase subunit KorA,korA,Rhodococcus,0.9,genus,Low,Citrate cycle (TCA cycle)
1.2.7.3,Emma2metabat.44,Emma2,2-oxoglutarate oxidoreductase subunit KorB,korB,Rhodococcus,0.9,genus,Low,Citrate cycle (TCA cycle)
3.5.1.4,Emma2metabat.44,Emma2,Putative amidase AmiD,amiD,Rhodococcus,0.9,genus,Low,Aminobenzoate degradation
3.7.1.9,Emma2metabat.44,Emma2,2-hydroxymuconate semialdehyde hydrolase,xylF,Rhodococcus,0.9,genus,Low,Benzoate degradation
2.3.1.16,Emma2metabat.44,Emma2,Steroid 3-ketoacyl-CoA thiolase,fadA5,Rhodococcus,0.9,genus,Low,Benzoate degradation
4.2.1.17,Emma2metabat.44,Emma2,"2,3-dehydroadipyl-CoA hydratase",paaF,Rhodococcus,0.9,genus,Low,Benzoate degradation
4.2.1.17,Emma2metabat.44,Emma2,"2,3-dehydroadipyl-CoA hydratase",paaF,Rhodococcus,0.9,genus,Low,Aminobenzoate degradation
1.14.99.15,Emma2metabat.44,Emma2,Cytochrome p450 CYP199A2,NA,Rhodococcus,0.9,genus,Low,Benzoate degradation
4.2.1.17,Emma2metabat.44,Emma2,Enoyl-CoA-hydratase,dpgD_1,Rhodococcus,0.9,genus,Low,Benzoate degradation
4.2.1.17,Emma2metabat.44,Emma2,Enoyl-CoA-hydratase,dpgD_1,Rhodococcus,0.9,genus,Low,Aminobenzoate degradation
4.2.1.17,Emma2metabat.44,Emma2,putative enoyl-CoA hydratase echA12,NA,Rhodococcus,0.9,genus,Low,Benzoate degradation
4.2.1.17,Emma2metabat.44,Emma2,putative enoyl-CoA hydratase echA12,NA,Rhodococcus,0.9,genus,Low,Aminobenzoate degradation
4.2.1.17,Emma2metabat.44,Emma2,putative enoyl-CoA hydratase echA12,NA,Rhodococcus,0.9,genus,Low,Benzoate degradation
4.2.1.17,Emma2metabat.44,Emma2,putative enoyl-CoA hydratase echA12,NA,Rhodococcus,0.9,genus,Low,Aminobenzoate degradation
4.2.1.17,Emma2metabat.44,Emma2,Enoyl-CoA-hydratase,dpgD_2,Rhodococcus,0.9,genus,Low,Benzoate degradation
4.2.1.17,Emma2metabat.44,Emma2,Enoyl-CoA-hydratase,dpgD_2,Rhodococcus,0.9,genus,Low,Aminobenzoate degradation
4.2.1.17,Emma2metabat.44,Emma2,putative enoyl-CoA hydratase echA8,echA8,Rhodococcus,0.9,genus,Low,Benzoate degradation
4.2.1.17,Emma2metabat.44,Emma2,putative enoyl-CoA hydratase echA8,echA8,Rhodococcus,0.9,genus,Low,Aminobenzoate degradation
4.2.1.17,Emma2metabat.44,Emma2,putative enoyl-CoA hydratase echA12,NA,Rhodococcus,0.9,genus,Low,Benzoate degradation
4.2.1.17,Emma2metabat.44,Emma2,putative enoyl-CoA hydratase echA12,NA,Rhodococcus,0.9,genus,Low,Aminobenzoate degradation
4.2.1.17,Emma2metabat.44,Emma2,putative enoyl-CoA hydratase echA12,NA,Rhodococcus,0.9,genus,Low,Benzoate degradation
4.2.1.17,Emma2metabat.44,Emma2,putative enoyl-CoA hydratase echA12,NA,Rhodococcus,0.9,genus,Low,Aminobenzoate degradation
1.3.7.8,Emma2metabat.44,Emma2,Benzoyl-CoA reductase subunit C,bcrC,Rhodococcus,0.9,genus,Low,Benzoate degradation
1.3.7.8,Emma2metabat.44,Emma2,Benzoyl-CoA reductase subunit B,bcrB,Rhodococcus,0.9,genus,Low,Benzoate degradation
2.3.1.16,Emma2metabat.45,Emma2,3-ketoacyl-CoA thiolase,fadA,Rhodococcus,0.98,genus,Low,Benzoate degradation
